,tokenId,marketplace,block,token,price
269,3883,blur,17423833,,46.95
270,3402,blur,17423833,,46.95
271,4719,blur,17423832,,46.95
272,5282,blur,17423832,,46.95
273,560,blur,17423832,,46.95
274,8152,blur,17423831,,46.95
275,9886,blur,17423330,,46.89
276,8984,blur,17422972,,46.87
277,9886,blur,17422972,,46.87
278,2578,blur,17422971,,46.87
279,5497,blur,17422971,,46.87
280,7083,blur,17422970,,46.87
281,9816,blur,17422964,,46.88
282,4719,blur,17422846,,46.59585
283,9845,blur,17422814,,46.83
284,8152,blur,17422692,,46.83
285,9816,blur,17422629,,46.83
286,552,blur,17422601,,46.59585
287,1032,blur,17422537,,46.6058
288,7083,blur,17422534,,46.88
289,1032,blur,17422532,,46.6456
290,2578,blur,17422530,,46.88
291,759,blur,17422512,,46.6456
292,552,blur,17422299,,46.82
293,753,blur,17422297,,46.89
294,1368,seaport,17422296,ETH,45.486
295,9886,blur,17422296,,46.93
296,6891,blur,17422285,,46.93
297,4295,blur,17422285,,46.93
298,9163,blur,17422284,,46.93
299,3145,blur,17422283,,46.93
300,9066,blur,17422282,,46.93
301,2970,blur,17422277,,46.93
302,9581,blur,17422277,,46.93
303,6117,blur,17422048,ETH,46.765
304,8984,blur,17422007,,46.77
305,6170,blur,17421734,,46.74
306,3013,blur,17421692,,46.74
307,8984,blur,17421689,,46.74
308,8803,blur,17421688,,46.74
309,1392,blur,17421687,,46.74
310,7452,blur,17421652,,46.73
311,2941,blur,17421647,,46.74
312,8152,blur,17421646,,46.74
313,7961,blur,17421645,,46.74
314,560,blur,17421479,,46.72
315,1008,x2y2,17421474,ETH,61.0
316,3402,blur,17421345,,46.71
317,7961,blur,17421336,,46.47645
318,2941,blur,17421237,,46.71
319,9886,blur,17421154,,46.72
320,8152,blur,17421112,,46.72
321,1392,blur,17421111,,46.72
322,6403,blur,17421108,,46.72
323,3391,blur,17421108,,46.72
324,3084,blur,17421107,,46.72
325,7452,blur,17421056,,46.74
326,7380,blur,17421054,,46.75
327,8710,blur,17421052,,46.76
328,7167,blur,17421052,,46.75
329,6891,blur,17421052,,46.75
330,5409,blur,17421049,,46.76
331,3013,blur,17421049,,46.76
332,428,blur,17421049,,46.76
333,8803,blur,17421048,,46.76
334,669,blur,17420954,,46.74
335,2844,blur,17420952,,46.74
336,753,blur,17420951,,46.74
337,5871,blur,17420950,,46.74
338,552,blur,17420950,,46.74
339,7292,blur,17420947,,46.74
340,6408,blur,17420947,,46.74
341,3599,blur,17420946,,46.74
342,7083,blur,17420946,,46.74
343,3883,blur,17420944,,46.74
344,3402,blur,17420944,,46.74
345,2941,seaport,17420916,WETH,0.00455001
346,2941,seaport,17420916,WETH,45.5001
347,5673,blur,17420789,,46.75
348,5101,blur,17420787,,46.75
349,8984,blur,17420785,,46.76
350,3084,blur,17420784,,46.77
351,3391,blur,17420783,,46.77
352,6170,blur,17420783,,46.77
353,9886,blur,17420782,,46.77
354,8152,blur,17420781,,46.77
355,560,blur,17420781,,46.77
356,7116,blur,17420781,,46.77
357,6403,blur,17420780,,46.77
358,4205,blur,17420780,,46.77
359,7116,blur,17420470,,46.73
360,9816,blur,17420466,,46.74
361,8710,blur,17420466,,46.75
362,8152,blur,17420465,,46.75
363,7452,blur,17420465,,46.75
364,7083,blur,17420465,,46.75
365,6408,blur,17420464,,46.75
366,3883,blur,17420464,,46.75
367,3599,blur,17420463,,46.75
368,3402,blur,17420463,,46.75
369,7292,blur,17420459,,46.75
370,1729,blur,17420104,,46.7
371,2844,blur,17420102,,46.7
372,5282,blur,17420056,,46.7
373,7292,blur,17420055,,46.7
374,3013,blur,17419525,,46.7
375,669,blur,17419520,,46.7
376,7116,blur,17419175,,46.68
377,5282,blur,17419142,,46.69
378,7292,blur,17419133,,46.69
379,9816,blur,17418875,,46.68
380,8803,blur,17418874,,46.68
381,7167,blur,17418871,,46.68
382,322,blur,17418870,,46.68
383,7380,blur,17418868,,46.68
384,6408,blur,17418713,,46.69
385,3084,blur,17418709,,46.69
386,2844,blur,17418708,,46.69
387,3013,blur,17418706,,46.69
388,7116,blur,17418704,,46.69
389,8152,blur,17418699,,46.69
390,4205,blur,17418699,,46.69
391,6403,blur,17418696,,46.69
392,669,blur,17418696,,46.69
393,5282,blur,17418693,,46.69
394,8710,blur,17418439,,46.68
395,560,blur,17418435,,46.68
396,3599,blur,17418431,,46.68
397,753,blur,17418421,,46.68
398,7380,blur,17418418,,46.68
399,7292,blur,17418417,,46.68
400,322,blur,17418417,,46.68
401,1729,blur,17418416,,46.68
402,7167,blur,17418403,,46.4466
403,4665,x2y2,17418391,ETH,56.0
404,6403,blur,17418384,,46.69
405,5282,blur,17418380,,46.69
406,7452,blur,17418378,,46.69
407,7116,blur,17418374,,46.45655
408,4478,blur,17418374,,46.45655
409,428,blur,17418374,,46.45655
410,3883,blur,17418374,,46.45655
411,3084,blur,17418374,,46.45655
412,2844,blur,17418374,,46.45655
413,5871,blur,17418287,,46.68
414,669,blur,17418283,,46.68
415,9816,blur,17418273,,46.68
416,1392,blur,17418271,,46.69
417,3402,blur,17418255,,46.69
418,4205,blur,17418145,,46.68
419,8152,blur,17418145,,46.68
420,6408,blur,17418145,,46.68
421,753,blur,17417979,,46.69
422,5871,blur,17417968,,46.69
423,322,blur,17417965,,46.69
424,560,blur,17417960,,46.69
425,1729,blur,17417960,,46.69
426,7380,blur,17417960,,46.69
427,7292,blur,17417960,,46.69
428,669,blur,17417960,,46.69
429,6170,blur,17417958,,46.69
430,5101,blur,17417957,,46.69
431,1392,blur,17417957,,46.69
432,5033,blur,17417942,ETH,46.51625
433,8243,blur,17417778,,46.43665
434,6403,blur,17417721,,46.66
435,4205,blur,17417699,,46.7
436,3402,blur,17417698,,46.7
437,8152,blur,17417698,,46.7
438,7083,blur,17417698,,46.7
439,6408,blur,17417697,,46.7
440,3391,blur,17417696,,46.7
441,8803,blur,17417692,,46.7
442,5282,blur,17417686,,46.7
443,3402,blur,17417123,,46.69
444,322,blur,17417120,,46.69
445,5673,blur,17417120,,46.69
446,7452,blur,17417119,,46.69
447,5871,blur,17417119,,46.69
448,7452,blur,17416760,,46.7
449,322,blur,17416757,,46.7
