,tokenId,marketplace,block,token,price,rarity
1601,4847,blur,17286692,ETH,45.56105,346516798.90830904
1608,4431,blur,17286144,,45.12325,1026904291.776
1611,1221,seaport,17285374,ETH,48.45,4699933.200426209
1613,9109,blur,17283564,,45.0735,12792236412.945599
1622,559,seaport,17281049,ETH,63.375,148774018.826895
1623,4001,blur,17280765,ETH,51.74,261061667.67471844
1624,8833,seaport,17279972,ETH,46.73515,11575816731.648003
1625,7583,seaport,17279273,ETH,49.75,158723498.64216384
1627,7294,blur,17278235,ETH,49.44155,82845920.83768003
1628,3118,seaport,17278186,WETH,60.0,923972385.3179586
1629,7133,blur,17277583,ETH,48.6356,4564483147.84
1630,7836,blur,17275890,ETH,46.01875,13220296828.232996
1631,8043,blur,17275737,ETH,48.2376,1118614725.1851265
1634,9310,seaport,17275167,WETH,60.0,6853560.039462499
1635,2500,blur,17275041,ETH,45.66055,17007119252.479998
1637,9910,blur,17274159,ETH,45.7501,4201648.178982507
1639,8512,blur,17274146,ETH,44.90435,21559850544.8448
1640,2679,blur,17274144,ETH,44.90435,599100514.3418803
1643,5174,seaport,17273363,ETH,16.915,53621332.67585094
1644,2837,blur,17272662,ETH,44.775,56658851.67179249
1656,5042,blur,17272428,,44.8944,26307590.485085327
1657,4410,blur,17272428,,44.8944,8438434599.898276
1658,3407,seaport,17271580,ETH,47.4905,34289967.4521096
1659,4112,blur,17271493,,45.173,294658685.34102
1660,4686,blur,17271493,,45.173,149414066.97246718
1662,466,seaport,17271097,ETH,95.06,519828631.6031999
1663,4082,seaport,17270952,ETH,53.075,4123526.770755231
1665,9712,blur,17270735,ETH,45.87945,2632493651.2143354
1670,5328,blur,17270308,,45.9889,24036392.55102443
1672,2749,blur,17270186,,46.24,1102954330.8336384
1675,3796,blur,17269361,ETH,47.75005,58872638.11002843
1678,3918,blur,17268610,ETH,53.2325,737118461.8598399
1680,8086,seaport,17267754,ETH,47.775,3057140750.288487
1687,1685,blur,17267083,ETH,48.4565,1230391378.259699
1688,8872,blur,17267070,ETH,47.4615,321142513.91186255
1690,439,blur,17266979,ETH,48.399984,405305315.4685408
1695,7528,blur,17266967,ETH,48.2575,157132270.08556563
1700,4980,x2y2,17266485,ETH,530.0,69024.88005753602
1702,2118,x2y2,17263017,ETH,51.0,709025896175.9999
1703,2602,seaport,17262675,ETH,48.62565,30289157.85183515
1704,2900,blur,17262492,ETH,49.00375,612531378.561024
1705,5691,blur,17261759,,44.8745,4695355222.271999
1708,7230,blur,17260023,ETH,46.2675,10906266908.68
1709,4239,seaport,17259469,ETH,52.25,2143953630.0
1710,9695,seaport,17258336,ETH,46.2675,951209031.7566721
1717,5044,seaport,17257034,ETH,47.94905,1168820410.909536
1719,5151,seaport,17255833,ETH,29.85,174371748.30915838
1720,262,seaport,17255749,ETH,46.7451,5752885324.0320015
1721,791,seaport,17254293,ETH,47.5,6904625142.239999
1726,633,blur,17252505,ETH,46.367,407044791.275472
1727,3939,blur,17252505,ETH,45.77,980021125.1165192
1728,390,blur,17252505,ETH,46.75505,1866391658.1551077
1729,3318,blur,17252505,ETH,46.400034,28520760.213045113
1730,2495,blur,17252076,ETH,45.7501,3702430576.7679996
1731,8256,blur,17251790,ETH,54.57575,34050754429.999992
1733,4318,blur,17250934,ETH,43.9999945,98414736.75264
1734,1374,blur,17250934,ETH,43.979,291519200.22875994
1735,4339,seaport,17250934,ETH,44.2775,207228788.68423682
1736,5368,seaport,17250702,WETH,50.0,68569906.81464002
1737,6268,seaport,17250373,WETH,45.0,8453075.806656003
1745,2841,blur,17244929,ETH,43.78,1892976849.3843188
1746,6289,seaport,17244867,ETH,45.74015,2504365.7728320006
1749,6805,blur,17242186,ETH,195.0,3183538.7422566
1751,6384,x2y2,17241204,ETH,56.0,9216795601.305601
1752,184,blur,17241128,ETH,46.2277,30723561.689534996
1754,4900,seaport,17238456,ETH,43.875,41648557.072551005
1755,1500,blur,17237982,ETH,44.2775,45314751.45599999
1758,1161,blur,17237662,ETH,46.2675,125005804.65852694
1759,377,blur,17237630,ETH,46.7649005,96060493.11995135
1760,7717,seaport,17237602,ETH,45.2725,649503445.5529803
1762,1937,blur,17237422,ETH,46.71525,5297978803.7484
1763,8990,blur,17237200,ETH,44.7500255,760895403.2922527
1764,5454,blur,17237083,ETH,44.46655,5674788856.8624
1766,3799,blur,17237042,ETH,48.44655,25176145.13774976
1776,6795,x2y2,17236535,ETH,44.5,540128449.096704
1777,9523,blur,17236203,ETH,43.8795,68516022156.4416
1779,522,blur,17235437,ETH,41.2925,14025780550.962
1783,3885,blur,17234787,ETH,45.0735,255877995.225078
1787,4942,blur,17234500,ETH,45.2725,36850559942.4768
1788,6629,blur,17234430,ETH,42.188,1997426226.4247608
