,tokenId,marketplace,block,token,price
446,5871,blur,17427441,,46.76
447,3391,blur,17427438,,46.78
448,3084,blur,17427434,,46.79
449,2844,blur,17427391,,46.8
450,3145,blur,17427363,,46.79
451,8984,blur,17427351,,46.8
452,9886,blur,17427233,,46.8
453,322,blur,17427233,,46.8
454,669,blur,17427232,,46.8
455,3883,blur,17427232,,46.8
456,6403,blur,17427067,,46.8
457,6170,blur,17427065,,46.8
458,2508,blur,17427065,,46.8
459,5775,blur,17427063,,46.8
460,4205,blur,17427061,,46.8
461,1392,blur,17427061,,46.8
462,1032,blur,17427061,,46.8
463,7292,blur,17427055,,46.8
464,3391,blur,17427055,,46.8
465,3145,blur,17427054,,46.8
466,5871,blur,17427054,,46.566
467,2970,blur,17427054,,46.566
468,8152,blur,17426919,,46.81
469,5497,blur,17426828,,46.8
470,7784,blur,17426824,,46.8
471,5673,blur,17426821,,46.81
472,3013,blur,17426819,,46.81
473,322,blur,17426816,,46.82
474,4295,blur,17426807,,46.82
475,7167,blur,17426807,,46.82
476,560,blur,17426806,,46.82
477,7083,blur,17426725,,46.82
478,9314,blur,17426564,,46.82
479,7380,blur,17426560,,46.82
480,7116,blur,17426555,,46.82
481,3084,blur,17426549,,46.82
482,8152,blur,17426549,,46.82
483,2844,blur,17426549,,46.82
484,6170,blur,17426527,,46.83
485,5497,blur,17426495,,46.82
486,6403,blur,17426490,,46.82
487,322,blur,17426487,,46.83
488,1392,blur,17426354,,46.81
489,1032,blur,17426347,,46.81
490,5775,blur,17426344,,46.81
491,8984,blur,17426342,,46.81
492,7083,blur,17426341,,46.81
493,3402,blur,17426341,,46.81
494,4719,blur,17426341,,46.81
495,9886,blur,17426341,,46.81
496,6408,blur,17426338,,46.81
497,7784,blur,17426309,,46.57595
498,9057,seaport,17426074,ETH,48.75
499,9816,blur,17426066,,46.82
500,7380,blur,17426064,,46.81
501,6930,blur,17426064,,46.81
502,2508,blur,17426064,,46.81
503,2155,blur,17426064,,46.82
504,8243,blur,17426049,,46.85
505,753,blur,17426047,,46.85
506,669,blur,17426045,,46.85
507,9163,blur,17426044,,46.85
508,8710,blur,17426031,,46.85
509,4205,blur,17426030,,46.85
510,5497,blur,17426030,,46.85
511,3084,blur,17425992,,46.86
512,7116,blur,17425893,,46.84
513,5673,blur,17425886,,46.84
514,6403,blur,17425856,,46.83
515,1729,blur,17425855,,46.83
516,2844,blur,17425852,,46.83
517,5101,blur,17425848,,46.83
518,9314,blur,17425843,,46.85
519,5775,blur,17425839,,46.85
520,8152,blur,17425838,,46.85
521,9886,blur,17425837,,46.85
522,5871,blur,17425740,,46.85
523,2970,blur,17425738,,46.85
524,7167,blur,17425736,,46.86
525,3883,blur,17425735,,46.86
526,4295,blur,17425734,,46.86
527,2508,blur,17425734,,46.86
528,7380,blur,17425732,,46.86
529,560,blur,17425731,,46.86
530,6408,blur,17425731,,46.86
531,9163,blur,17425728,,46.86
532,6930,blur,17425728,,46.86
533,669,blur,17425728,,46.86
534,4719,blur,17425727,,46.86
535,753,blur,17425727,,46.86
536,9816,blur,17425727,,46.86
537,2155,blur,17425536,,46.86
538,5101,blur,17425465,,46.86
539,2155,seaport,17425161,,1e-18
540,8710,blur,17425087,,46.85
541,9816,blur,17425004,,46.85
542,5101,blur,17425001,,46.85
543,3013,blur,17424999,,46.85
544,2844,blur,17424999,,46.85
545,1392,blur,17424999,,46.85
546,5497,blur,17424995,,46.86
547,9548,blur,17424784,,46.6058
548,3084,blur,17424762,,46.6058
549,4205,blur,17424756,,46.86
550,7116,blur,17424755,,46.86
551,9816,blur,17424655,,46.88
552,7380,blur,17424654,,46.9
553,7167,blur,17424653,,46.9
554,669,blur,17424653,,46.9
555,6170,blur,17424652,,46.9
556,5101,blur,17424652,,46.91
557,3013,blur,17424652,,46.91
558,2844,blur,17424652,,46.91
559,1392,blur,17424651,,46.91
560,560,blur,17424576,,46.91
561,3391,blur,17424575,,46.91
562,3145,blur,17424574,,46.91
563,6117,blur,17424573,,46.91
564,5497,blur,17424572,,46.91
565,5673,blur,17424436,,46.88
566,3599,blur,17424426,,46.89
567,2508,blur,17424422,,46.82
568,8803,blur,17424419,,46.91
569,2578,blur,17424419,,46.91
570,5282,blur,17424418,,46.91
571,3084,blur,17424417,,46.82
572,5775,blur,17424414,,46.9
573,9886,blur,17424413,,46.9
574,8152,blur,17424408,,46.92
575,759,blur,17424407,,46.92
576,6408,blur,17424407,,46.92
577,7116,blur,17424407,,46.92
578,4205,blur,17424407,,46.92
579,428,blur,17424406,,46.92
580,6891,blur,17424404,,46.6854
581,5497,blur,17424197,,46.57595
582,753,blur,17424155,,46.81
583,6930,blur,17424154,,46.81
584,4295,blur,17424152,,46.81
585,9163,blur,17424152,,46.81
586,6117,blur,17424151,,46.81
587,3391,blur,17424149,,46.81
588,3512,blur,17424006,ETH,49.2525
589,9886,blur,17423880,,46.93
590,5497,blur,17423842,,46.9
591,2508,blur,17423840,,46.93
592,5775,blur,17423840,,46.93
593,4478,blur,17423838,,46.94
594,5409,blur,17423838,,46.94
595,3391,blur,17423838,,46.95
596,6117,blur,17423837,,46.95
597,9163,blur,17423837,,46.95
598,753,blur,17423837,,46.95
599,8984,blur,17423836,,46.95
600,7083,blur,17423835,,46.95
601,9314,blur,17423835,,46.95
602,759,blur,17423834,,46.95
603,3084,blur,17423834,,46.95
604,4295,blur,17423833,,46.95
605,6930,blur,17423833,,46.95
606,322,blur,17423833,,46.95
607,3883,blur,17423833,,46.95
608,3402,blur,17423833,,46.95
609,4719,blur,17423832,,46.95
610,5282,blur,17423832,,46.95
611,560,blur,17423832,,46.95
612,8152,blur,17423831,,46.95
613,9886,blur,17423330,,46.89
614,8984,blur,17422972,,46.87
615,9886,blur,17422972,,46.87
616,2578,blur,17422971,,46.87
617,5497,blur,17422971,,46.87
618,7083,blur,17422970,,46.87
619,9816,blur,17422964,,46.88
620,4719,blur,17422846,,46.59585
621,9845,blur,17422814,,46.83
622,8152,blur,17422692,,46.83
623,9816,blur,17422629,,46.83
624,552,blur,17422601,,46.59585
625,1032,blur,17422537,,46.6058
626,7083,blur,17422534,,46.88
627,1032,blur,17422532,,46.6456
628,2578,blur,17422530,,46.88
629,759,blur,17422512,,46.6456
630,552,blur,17422299,,46.82
631,753,blur,17422297,,46.89
632,1368,seaport,17422296,ETH,45.486
633,9886,blur,17422296,,46.93
634,6891,blur,17422285,,46.93
635,4295,blur,17422285,,46.93
636,9163,blur,17422284,,46.93
637,3145,blur,17422283,,46.93
638,9066,blur,17422282,,46.93
639,2970,blur,17422277,,46.93
640,9581,blur,17422277,,46.93
641,6117,blur,17422048,ETH,46.765
642,8984,blur,17422007,,46.77
643,6170,blur,17421734,,46.74
644,3013,blur,17421692,,46.74
645,8984,blur,17421689,,46.74
646,8803,blur,17421688,,46.74
647,1392,blur,17421687,,46.74
648,7452,blur,17421652,,46.73
649,2941,blur,17421647,,46.74
650,8152,blur,17421646,,46.74
651,7961,blur,17421645,,46.74
652,560,blur,17421479,,46.72
653,1008,x2y2,17421474,ETH,61.0
654,3402,blur,17421345,,46.71
655,7961,blur,17421336,,46.47645
656,2941,blur,17421237,,46.71
657,9886,blur,17421154,,46.72
658,8152,blur,17421112,,46.72
659,1392,blur,17421111,,46.72
660,6403,blur,17421108,,46.72
661,3391,blur,17421108,,46.72
662,3084,blur,17421107,,46.72
663,7452,blur,17421056,,46.74
664,7380,blur,17421054,,46.75
665,8710,blur,17421052,,46.76
666,7167,blur,17421052,,46.75
667,6891,blur,17421052,,46.75
668,5409,blur,17421049,,46.76
669,3013,blur,17421049,,46.76
670,428,blur,17421049,,46.76
671,8803,blur,17421048,,46.76
672,669,blur,17420954,,46.74
673,2844,blur,17420952,,46.74
674,753,blur,17420951,,46.74
